pair,model,cor
BLCA-Gemcitabine(n=46),Mine,-0.257
BRCA-Anastrozole(n=18),Mine,-0.273
BRCA-Epirubicin(n=17),Mine,-0.292
BRCA-Fluorouracil(n=31),Mine,-0.285
CESC-Cisplatin(n=60),Mine,-0.355
LGG-Temozolomide(n=103),Mine,-0.152
LUAD-Etoposide(n=11),Mine,-0.202
LUSC-Carboplatin(n=14),Mine,-0.59
LUSC-Cisplatin(n=16),Mine,-0.354
LUSC-Vinorelbine(n=11),Mine,-0.624
PAAD-Fluorouracil(n=13),Mine,-0.279
PAAD-Gemcitabine(n=58),Mine,-0.255
STAD-Etoposide(n=15),Mine,-0.254
STAD-Fluorouracil(n=69),Mine,-0.273
UCEC-Carboplatin(n=28),Mine,-0.262
UCEC-Paclitaxel(n=24),Mine,-0.62
UCS-Carboplatin(n=28),Mine,-0.305
UCS-Paclitaxel(n=30),Mine,-0.269
BLCA-Gemcitabine(n=46),DIPK,-0.175
BRCA-Anastrozole(n=18),DIPK,0.0255
BRCA-Epirubicin(n=17),DIPK,-0.378
BRCA-Fluorouracil(n=31),DIPK,-0.167
CESC-Cisplatin(n=60),DIPK,-0.326
LGG-Temozolomide(n=103),DIPK,-0.127
LUAD-Etoposide(n=11),DIPK,0.071
LUSC-Carboplatin(n=14),DIPK,-0.347
LUSC-Cisplatin(n=16),DIPK,-0.381
LUSC-Vinorelbine(n=11),DIPK,-0.554
PAAD-Fluorouracil(n=13),DIPK,-0.0602
PAAD-Gemcitabine(n=58),DIPK,-0.0875
STAD-Etoposide(n=15),DIPK,-0.162
STAD-Fluorouracil(n=69),DIPK,-0.221
UCEC-Carboplatin(n=28),DIPK,-0.145
UCEC-Paclitaxel(n=24),DIPK,-0.446
UCS-Carboplatin(n=28),DIPK,0.0671
UCS-Paclitaxel(n=30),DIPK,-0.0578
BLCA-Gemcitabine(n=46),Precily,-0.0407
BRCA-Anastrozole(n=18),Precily,0.029
BRCA-Epirubicin(n=17),Precily,0.0467
BRCA-Fluorouracil(n=31),Precily,0.0297
CESC-Cisplatin(n=60),Precily,-0.137
LGG-Temozolomide(n=103),Precily,-0.113
LUAD-Etoposide(n=11),Precily,-0.247
LUSC-Carboplatin(n=14),Precily,0.373
LUSC-Cisplatin(n=16),Precily,-0.25
LUSC-Vinorelbine(n=11),Precily,-0.233
PAAD-Fluorouracil(n=13),Precily,0.0992
PAAD-Gemcitabine(n=58),Precily,0.108
STAD-Etoposide(n=15),Precily,0.039
STAD-Fluorouracil(n=69),Precily,-0.0983
UCEC-Carboplatin(n=28),Precily,-0.141
UCEC-Paclitaxel(n=24),Precily,-0.0254
UCS-Carboplatin(n=28),Precily,-0.146
UCS-Paclitaxel(n=30),Precily,0.243
BLCA-Gemcitabine(n=46),oncoPredict,-0.414
BRCA-Epirubicin(n=17),oncoPredict,-0.199
CESC-Cisplatin(n=60),oncoPredict,0.141
LGG-Temozolomide(n=103),oncoPredict,-0.00265
LUSC-Cisplatin(n=16),oncoPredict,0.196
LUSC-Vinorelbine(n=11),oncoPredict,-0.0989
PAAD-Gemcitabine(n=58),oncoPredict,-0.00542
UCEC-Paclitaxel(n=24),oncoPredict,-0.196
UCS-Paclitaxel(n=30),oncoPredict,0.126
