gene,delta
A4GALT,0.0004717915856528865
AADAC,-0.0004824194301604745
AADAT,-0.0005966400754476575
AASS,-0.0007084666908146464
AATK,-0.0001106250210457238
ABAT,-9.659720026647389e-05
ABCA1,-0.0003715247216684592
ABCA12,-0.0002315570190661309
ABCA2,-0.0004352351585593939
ABCA3,-0.00019822582979522885
ABCA5,-0.00018725866380589484
ABCA7,-0.0007670201728152692
ABCB1,-0.0005874757216100257
ABCB6,-4.239853993448506e-07
ABCC1,-0.0005471443568923484
ABCC2,-0.00030500162821595067
ABCC3,-0.0001381261794838884
ABCC4,-0.0005726553117692545
ABCC5,-0.0003299685694877763
ABCD1,-0.00012138104209721834
ABCG1,0.0003259315129013063
ABCG2,-0.00041053055195375276
ABHD11,-0.0003943889467520889
ABHD14B,-0.00012444696810359757
ABHD15,-0.000379505662721491
ABHD2,4.470138819157032e-06
ABHD3,-0.00035201703763143577
ABHD4,7.651756704493695e-05
ABHD6,-0.000437748629492446
ABHD8,0.00020030313364299834
ABI3,-0.0004662332355771237
ABI3BP,7.499079730971525e-05
ABL2,-0.0001891688617599585
ABLIM1,-5.588765835601306e-05
ABLIM3,0.00011698535877244232
ABR,-0.0008060749532584344
ABTB1,-0.00013524675704321143
ABTB2,0.00028373857360511345
ACAA2,-0.0002882761102177833
ACADM,-0.0004743848366213499
ACADS,-0.0005460079653943073
ACAN,4.456184190884671e-05
ACAP1,-0.00022184163487373731
ACAP3,-0.0006947549406340348
ACAT1,0.00037555037256917223
ACAT2,0.0001503201616534222
ACBD7,-0.0003448770033870341
ACCS,-0.00038518009708893297
ACER2,-0.00018151213709186043
ACO1,0.0004707631466769613
ACOT1,6.666209944292123e-05
ACOT2,0.00010712298285420196
ACOT4,-0.00041117139702367966
ACOT7,-0.0008159854538524469
ACOT9,-0.0006686631081110894
ACP5,-0.0003352644041601516
ACPP,-0.0003648040918574347
ACSF2,-0.000509008519608084
ACSL1,-0.0001729324915357433
ACSL3,-0.00025516907342792994
ACSL4,0.00026744045973825514
ACSL5,-1.816782777080972e-05
ACSM3,-0.00010822163161294807
ACSS1,-0.0005962453392366895
ACSS2,-0.0004169247794455211
ACSS3,-0.0003950631390305104
ACTA2,-0.00027503257829142314
ACTC1,5.620974545320068e-05
ACTG2,-0.00010567812589656889
