gene,delta
A4GALT,0.006844023649403952
AADAC,-0.003368821153373891
AADAT,0.002481081196806678
AASS,-0.0043149687699561845
AATK,0.00345836695646079
ABAT,-0.0013373057165823043
ABCA1,-0.0005607241685998132
ABCA12,2.6616890607844557e-05
ABCA2,0.0034392435352826878
ABCA3,-0.0009293164568738299
ABCA5,-0.0012709171980084255
ABCA7,0.000474046986567056
ABCB1,-0.0009167412559354937
ABCB6,-6.85734754535261e-08
ABCC1,-0.004934408186718697
ABCC2,0.0017334710487767468
ABCC3,0.003455537859937352
ABCC4,-0.002245725028786949
ABCC5,-0.0011957957675616249
ABCD1,-0.0017857182970517083
ABCG1,-0.007201210122485979
ABCG2,0.004009715073418296
ABHD11,-0.0020715429102514116
ABHD14B,-6.85734754535261e-08
ABHD15,0.004344013647059053
ABHD2,0.0020834459675611594
ABHD3,-0.008355783214648194
ABHD4,0.0021662585009089574
ABHD6,-0.0029801877827128065
ABHD8,-0.003418740648625296
ABI3,0.00020426898151743034
ABI3BP,-0.0015845309742894553
ABL2,0.003446197329973144
ABLIM1,0.004727143562645197
ABLIM3,-0.0007226431734391192
ABR,0.0005084199675150503
ABTB1,0.0005485441586947082
ABTB2,-0.0023875356835836303
ACAA2,8.395500988855886e-08
ACADM,0.004179777460814271
ACADS,-0.0001648445696083578
ACAN,-0.0003773666522348673
ACAP1,0.0035136900184744024
ACAP3,0.005010971751544746
ACAT1,-0.001999556628362986
ACAT2,0.006251645787134719
ACBD7,1.0997073934815305e-07
ACCS,0.005107040813651875
ACER2,0.002223901506896442
ACO1,0.007920007665521533
ACOT1,-2.750364713199893e-07
ACOT2,-6.857347539801495e-08
ACOT4,0.0012397290008350215
ACOT7,-0.003009326907717935
ACOT9,-0.0061712259752425
ACP5,0.00034468517367747253
ACPP,0.0005302057078710454
ACSF2,-0.0020146319065020846
ACSL1,0.0036004104195584974
ACSL3,0.0050063181181455585
ACSL4,0.005411315420063401
ACSL5,-0.0015375365824049636
ACSM3,-0.0011167964459958268
ACSS1,-0.002665630418111742
ACSS2,0.005808226809521588
ACSS3,0.0018350536971492026
ACTA2,0.004944043956359667
ACTC1,0.0007636464044770697
ACTG2,-0.00034131846915530506
ACTL8,0.0013803463116860981
ACTN1,-0.004317371359471911
ACTN4,0.0018100531892471516
ACVR1,-0.0001339964158024176
ACVR1B,-0.004090826854735385
ACY1,-6.85734754535261e-08
ACY3,-0.004419988158830879
ADA,0.00776059758812786
ADAM11,0.0034279130718836703
ADAM12,-0.0009023273586178382
ADAM15,0.005044338815972493
ADAM19,-0.0001803260110639915
ADAM22,-0.0023191331979923735
ADAM23,-0.0009095627697566222
ADAM8,0.0005005417429737036
ADAM9,-0.0028714211183955562
ADAMTS1,0.005726815167496957
ADAMTS10,0.0029866957690045104
ADAMTS12,-0.005797172324486344
ADAMTS14,-0.0008503993744669036
ADAMTS15,-0.003811025420912495
ADAMTS2,-0.0037462926792820594
ADAMTS3,-0.0012521171597582037
