gene,delta
A4GALT,-0.0007015691345996222
AADAC,0.0011278563143237719
AADAT,-0.0010913132946056558
AASS,5.857580049128952e-05
AATK,-0.0001687053393765181
ABAT,-0.0004586093342392461
ABCA1,5.694150079227356e-05
ABCA12,-0.0011215699909565835
ABCA2,-0.00017458795799640825
ABCA3,0.0009644816841855031
ABCA5,-0.00010558141274441546
ABCA7,-1.8123095184785498e-05
ABCB1,0.0014308759223147227
ABCB6,8.969274212233813e-10
ABCC1,0.0012008647724321975
ABCC2,-0.0005691682102386686
ABCC3,-0.000145379166549775
ABCC4,-0.00023178511041754835
ABCC5,-0.0005482232420485067
ABCD1,-0.0012354593501465727
ABCG1,-5.2512870856724625e-05
ABCG2,0.00027366257264305194
ABHD11,-0.00044357565237618246
ABHD14B,-1.6249203094176323e-09
ABHD15,0.0003661419137301891
ABHD2,-0.0005376195989766908
ABHD3,-0.0005943272937062316
ABHD4,-0.000777904970372556
ABHD6,0.00028242273236145365
ABHD8,-0.0003482129903956688
ABI3,-0.001230790114120195
ABI3BP,0.00013610171162581342
ABL2,-0.00036072158784483666
ABLIM1,0.00038124478368872783
ABLIM3,-0.001192401516256325
ABR,-0.0016217566264009609
ABTB1,-0.0007458246866500762
ABTB2,0.0002124065506918793
ACAA2,-2.9049178618123506e-09
ACADM,0.0006346930308420706
ACADS,0.0011028830452267657
ACAN,-0.0010807836204008714
ACAP1,-0.0003927109568740983
ACAP3,0.0011888712159910941
ACAT1,-0.0017189170633830075
ACAT2,0.0003503516533683859
ACBD7,1.9886893243281634e-09
ACCS,-0.0004304850465561838
ACER2,-2.9771314324023024e-05
ACO1,0.0006834561778635839
ACOT1,7.115976585758688e-09
ACOT2,8.91739082575782e-09
ACOT4,-0.000835606891979368
ACOT7,-0.000949823721648535
ACOT9,-0.0009142155407111385
ACP5,-0.001403363109298006
ACPP,0.0005092623792970485
ACSF2,0.0009731357368900628
ACSL1,-0.00039288270584536544
ACSL3,-0.00040609494595578166
ACSL4,0.00046017698375211413
ACSL5,-0.00017622607468181783
ACSM3,6.430370827459342e-05
ACSS1,0.0003309866657571492
ACSS2,0.0006483918629035523
ACSS3,4.946607402944725e-05
ACTA2,1.4780623901256007e-05
ACTC1,0.0008911014326951072
ACTG2,-0.001089811151692821
ACTL8,-0.0010151022153803702
ACTN1,-0.000522667798201315
ACTN4,-0.0013960492125586477
ACVR1,0.0004582637453846017
ACVR1B,-0.0007238536227444081
ACY1,5.334614971985729e-10
ACY3,8.46252024527816e-05
ADA,0.0014050935930125519
ADAM11,-0.0008593836963256551
ADAM12,-0.00013093772223571332
ADAM15,-2.686857570888268e-05
ADAM19,-0.000846651579265778
ADAM22,-0.0008398717503982356
ADAM23,0.00034320114941033264
ADAM8,0.0005159235973756227
ADAM9,-0.0006412798664908737
ADAMTS1,-0.0008694547758516524
ADAMTS10,-0.000564858067114149
ADAMTS12,-0.0007230102787716408
ADAMTS14,-0.0008650113135076909
ADAMTS15,0.0007488983986684294
ADAMTS2,0.0003149233606821733
ADAMTS3,0.0005925866423681647
ADAMTS6,-0.001133970743121715
ADAMTS7,0.0008808045131176723
ADAMTS9,-0.00040422797704531277
ADAMTSL1,-0.0001461837560589041
ADAMTSL4,-0.0010461369808902887
ADAMTSL5,0.0006221532784860262
ADAP1,0.00027030348449297303
ADARB1,-0.0014805481359105865
ADCY1,-0.0010074721344704995
ADCY3,-0.00017729309849467967
ADCY6,-0.0007556969443062167
ADCY7,0.00043997314633337226
ADCY9,-0.0008822176493685774
ADD2,0.0002542933492301058
ADD3,0.000876480834151705
ADM,0.00021371621716925748
ADM2,0.0011081283302387668
ADORA1,0.00031216434815239946
ADORA2B,-0.0005962799236952643
ADPRH,-0.0007860599945077595
ADPRHL1,0.00010278410289121798
ADRA1D,0.0005788466038268991
ADRA2C,0.0009516313975228563
ADRB2,0.0001857541720813316
ADRBK1,-0.00019309353532437346
ADRBK2,-0.0004399172608005042
ADSSL1,-0.00017941910127572402
AEBP1,0.00011610905337777755
AEN,-0.0025731027982088817
AFAP1,-0.0003884637876663266
AFAP1L1,0.0002171951469346345
AFAP1L2,0.0010449268709520343
AFF1,0.0010426621668899738
AFF3,-0.0014155647790635717
AFP,-0.0002683741709332832
AGA,1.7552767497930333e-05
AGAP1,-0.0003575138871435568
AGAP2,-0.001470780986386644
AGAP3,-0.0008047045100462169
AGFG2,-8.532140657990794e-05
AGMAT,-0.0006329799655023782
AGPAT2,0.0005860102974242221
AGPAT3,0.00010121953448716248
AGPAT4,0.00010735771348280299
AGPAT5,0.000339035045217706
AGR2,0.0011905271758179126
AGR3,0.0009073390591750607
AGRN,-0.00019978276409782225
AGTPBP1,0.0002292547556680402
AGTRAP,-0.0003957010300312813
AHCYL2,-0.0002538152731157428
AHNAK,-0.001220892036616683
AHNAK2,-0.0004858999522410201
AHR,-0.0005962116811918383
AHRR,-0.000754443673527061
AHSA2,-0.00042006960678220295
AHSG,0.0001023092173669804
AIF1L,-0.0003015332852700503
AIFM2,0.0003519401059406402
AIG1,7.548898241771518e-05
AIM1,0.00023027473534398268
AIM1L,-0.0013233957157618992
AIM2,-0.002426961133112915
AK1,-0.0019244331643323287
AK3,0.00039286909926405933
AK5,3.830986050767926e-05
AKAP1,-0.0006179856312767962
AKAP12,8.813477011238025e-05
AKAP7,0.00044130680686971235
AKNA,-0.0004208682874762282
AKR1B1,2.8549458352955526e-09
AKR1B10,0.0010872798244071502
AKR1B15,0.001047839274237905
AKR1C1,0.0014498660888268011
AKR1C2,0.0009841802994088322
AKR1C3,-0.0002942738515880894
AKR1E2,0.0009092093877420826
AKR7A3,-3.283920619323588e-06
AKT3,-0.0007185165121721404
ALB,-0.00028784631469080946
ALCAM,0.00018147101544063737
ALDH16A1,-0.00012051935436896422
ALDH1A1,0.0014745611502063882
ALDH1A2,-9.539171262307189e-05
ALDH1A3,0.0001566710415744632
ALDH1B1,-0.00040571945405687426
ALDH1L1,0.00047695427785199307
ALDH1L2,-0.000539925830262189
ALDH2,0.001788876147713614
ALDH3A1,0.0012113470488648304
ALDH3A2,0.0025026475789189373
ALDH3B1,-0.0002544184689029505
ALDH3B2,-0.00033020236371772427
ALDH4A1,4.674165499096716e-10
