gene,delta
A4GALT,0.00016952725117211354
AADAC,0.00016581907645708827
AADAT,0.0001505317883142704
AASS,-0.004590608794730874
AATK,-0.0006322870268882369
ABAT,0.002392501290217161
ABCA1,-0.0003151961092031502
ABCA12,7.513677326628776e-05
ABCA2,-0.004942101684209402
ABCA3,0.0017691559574358473
ABCA5,0.0013690827114770654
ABCA7,-0.0012614575557646363
ABCB1,-0.0014391986764681203
ABCB6,-0.0013793463634521747
ABCC1,7.300400467373513e-05
ABCC2,0.00018353403770632326
ABCC3,0.004846040100574822
ABCC4,-0.001144990127043513
ABCC5,7.273695002936453e-05
ABCD1,0.0010598155716407542
ABCG1,-0.0010370348859824324
ABCG2,0.0010570500712834413
ABHD11,-0.0016479990528097815
ABHD14B,-0.0017416154336808293
ABHD15,-0.0011770901101778447
ABHD2,0.0009913930151367184
ABHD3,-0.000614568317490724
ABHD4,-0.0008354303152782044
ABHD6,0.0003660649229629831
ABHD8,0.0016823577235579312
ABI3,-0.0015276608875231662
ABI3BP,-0.00018000077027127692
ABL2,0.0005549452753151191
ABLIM1,0.00033240256185884665
ABLIM3,-0.0007575257969966026
ABR,-0.00364047711459832
ABTB1,-0.002021359090433092
ABTB2,0.0020181376723711064
ACAA2,0.00035566824179117384
ACADM,-0.00020861149043305272
ACADS,-0.0019392774754305037
ACAN,-0.00011707597458986141
ACAP1,0.0001957352120778022
ACAP3,-0.003127796423975468
ACAT1,0.0021297879043273293
ACAT2,0.0005250053167870222
ACBD7,-0.0018677594475523668
ACCS,0.0005627326240496694
ACER2,-0.00045682247769164575
ACO1,-0.0007047148974566181
ACOT1,0.001082617553480783
ACOT2,0.0017553293830147726
ACOT4,-0.0004412246466294206
ACOT7,-0.0006890820478576837
ACOT9,-0.001348110164085467
ACP5,-6.628189547576435e-05
ACPP,0.0005003987995504389
ACSF2,-0.0016480865029157438
ACSL1,-0.0003764390402127421
ACSL3,0.0022367328018843974
ACSL4,-0.001150219050781623
ACSL5,0.001172815692066037
ACSM3,-0.00010759859567899266
ACSS1,0.0018969063050708057
ACSS2,0.002774577847230994
ACSS3,0.00028980080209099757
ACTA2,0.006071874428129634
ACTC1,0.0018680459759138346
ACTG2,-0.00117058419483769
ACTL8,0.00018223995836509632
ACTN1,-0.0015417876790522062
ACTN4,0.0006315584823882447
ACVR1,-0.0003851637864184937
ACVR1B,-0.0011830538142629382
ACY1,-0.0015935368363392682
ACY3,0.002828664182868451
ADA,-0.0009137011062401862
ADAM11,-0.0006728993218004659
ADAM12,-0.001643521772063103
ADAM15,-0.0010949240377313013
ADAM19,0.0031281119685185876
ADAM22,0.002000338985941527
ADAM23,0.001419316290139444
ADAM8,0.0010137580413795977
ADAM9,-0.0011955370858440367
ADAMTS1,-0.0003530519684458999
ADAMTS10,-0.00040721187530839975
ADAMTS12,-0.00040245761340870767
ADAMTS14,5.500938758158658e-05
ADAMTS15,-0.0005099714498314062
ADAMTS2,0.00029258032500317777
ADAMTS3,-0.0012289137639549669
ADAMTS6,-0.0012979214244903253
ADAMTS7,-0.00014824844287739114
ADAMTS9,0.0012289017669740998
ADAMTSL1,-0.0005571086427342137
ADAMTSL4,-0.0010085292870324475
ADAMTSL5,-0.0003048741667792676
ADAP1,-0.0007056855908927767
ADARB1,-0.0024455390901654134
ADCY1,-0.003067275848317799
ADCY3,0.00242168414270115
ADCY6,0.0006129005008026073
ADCY7,0.0006775359296086886
ADCY9,-1.7768591201963724e-05
ADD2,-0.000858992940807643
ADD3,-0.0034074153644999966
ADM,-0.0008565102944307762
ADM2,0.00020547336985600462
ADORA1,0.003775377764565921
ADORA2B,0.0019594657186386144
ADPRH,-0.00044700421425132586
ADPRHL1,0.0005492993792811096
ADRA1D,-0.0003624751885300814
ADRA2C,0.0022293018117000296
ADRB2,-0.001849667336398006
ADRBK1,0.002446683877113137
ADRBK2,-9.610803539304713e-05
ADSSL1,-0.00040531261761085624
AEBP1,0.0013509080412739127
